피아노 화음 추출 (MIDI Piano RH+LH)
  기보 코드 0마디 · 대조 0 · 구성음 일치 0 (0%) · 루트 일치 0 (0%)

마디  기보        추출        박별
 159   -          Fsus2      F5 F G5 G5
 160   -          G6         G5 C5 A A5
 161   -          Em7        - - E E
 162   -          Fsus2      - C5 F F
 163   -          C6         F F5 G C5
 164   -          Csus4      - C - C5
 165   -          C5         - C5 - -
 166   -          C5         - C5 - -
 167   -          C5         - C5 - -
 168   -          Csus4      - - C5 -
 169   -          F          F5 F5 - F
 170   -          G7         F F5 F5 G
 171   -          G6         - - D Asus2
 172   -          Fmaj7      A - - Fsus2
 173   -          Fsus2      F5 F5 F -
 174   -          G7         F F F C5
 175   -          G6         Em C5 - A
 176   -          Am7        Am A A F5
 177   -          Fsus2      F5 F C5 F5
 178   -          Em7        F G5 D G
 179   -          Csus2      G5 G - C5
 180   -          Dsus4      A A D5 D5
 181   -          Csus4      C5 C Dm D
 182   -          Csus4      - D Em -
 183   -          C          Em C Em Em
 184   -          Em7        E C F F
 185   -          Dm7        Bdim Am Fmaj7 Fmaj7
 186   -          G6         C Am G G
 187   -          G          G G - -
 188   -          G5         G5 D - -
 189   -          Gsus4      - - A D5
 190   -          Fsus2      - C5 F5 F5
 191   -          G7         F F - -
 192   -          Csus2      - - - -
 193   -          C5         - C5 - -
 194   -          C5         - C5 - -
 195   -          C5         - C5 - -
 196   -          Cmaj7      C5 C - -
 197   -          Cmaj7      G B A5 A
 198   -          G7         - D F5 F5
 199   -          Dm6        F F - -
 200   -          Csus2      - - C5 -
 201   -          C5         - - - C5
 202   -          C5         C5 C5 - -
 203   -          C5         - C5 - -
 204   -          -          - - - -

참고: 피아노 MIDI(음원에서 분리 전사된 두 손)만 사용. 현악기는 제외.
